"TORG","GROUP","PRIMARY"
"T1017","AZF",1
"T1018","BALUCH PEOPLE'S LIBERATION FRONT",1
"T1019","BALOCH LIBERATION FRONT (BLF)",1
"T1019","BALOCH LIBERATION FRONT (BLF) - PAKISTAN",0
"T1019","BALUCHISTAN LIBERATION FRONT",0
"T1019","BALUCHISTAN LIBERATION FRONT (BLF)",0
"T1019","BALUCHISTAN LIBERATION FRONT (BLF) - PAKISTAN",0
"T1020","BALUCHISTAN NATIONAL ALLIANCE",1
"T1021","BEGUMCANS CELL",1
"T1022","CONGOLESE RALLY FOR DEMOCRACY - PATRICK MASUNZU (RCD-PM)",1
"T1022","CONGOLESE RALLY FOR DEMOCRACY - PATRICK MASUNZU",0
"T1022","RASSEMBLEMENT CONGOLAIS POUR LA DƒMOCRATIE - PATRICK MAZUNSU",0
"T1022","RASSEMBLEMENT CONGOLAIS POUR LA DƒMOCRATIE - PATRICK MAZUNSU (RCD-PM)",0
"T1023","BENCHELLA COLUMN",1
"T1024","BLACK BLOC",1
"T1025","MORO NATIONAL LIBERATION FRONT - NUR MISAURI FACTION",1
"T1025","MORO NATIONAL LIBERATION FRONT - NM",0
"T1025","MORO NATIONAL LIBERATION FRONT - NUR MISAURI",0
"T1026","BLACK FLAG",1
"T1026","BANDERA NEGRA",0
"T1026","BLACK FLAG (BANDERA NEGRA)",0
"T1027","BLACK JUNE",1
"T1028","BLACK MAMBA",1
"T1028","BLACK MAMBAS",0
"T1029","BLACK MARCH",1
"T1030","SAN JOAQUIN MILITIA",1
"T1030","SAN JOAQUIN COUNTY MILITIA",0
"T1031","BRIGADES FOR THE LIBERATION OF THE TURKISH PEOPLE",1
"T1032","BRIGATE INTERNAZIONALI CONTRO LA REPRESSIONE IN EUROPA",1
"T1033","BRUNSWIJK JUNGLE COMMANDO",1
"T1033","BRUNSWIJK GANG",0
"T1033","SURINAM LIBERATION ARMY",0
"T1034","CALL OF JESUS CHRIST",1
"T1034","THE CALL OF JESUS CHRIST",0
"T1035","CAPT. BUSCONI DIRECT ACTION COMMAND",1
"T1036","CARIBBEAN REVOLUTIONARY ALLIANCE (ARC)",1
"T1037","CARLOS AGUERO ECHEVERRIA COMMAND",1
"T1037","CARLOS ECHEVERRIA COMMANDO GROUP",0
"T1038","CHAD NATIONAL LIBERATION FRONT",1
"T1039","COMMANDOS FOR THE ARAB HOLY WAR",1
"T1040","COMMITTEE FOR DIRECT ACTION AGAINST WAR",1
"T1040","DIRECT ACTION COMMITTEE AGAINST THE WAR",0
"T1041","COMMUNIST GROUP OF PROLETARIAN INTERNATIONALISM",1
"T1042","COMMUNIST PARTY OF CHILE",1
"T1043","CONDOR ORGANIZATION",1
"T1043","CONDOR",0
"T1044","CONTINUOUS REVOLUTION",1
"T1045","COORDINATION OF UNITED REVOLUTIONARY ORGANIZATIONS",1
"T1045","COORDINATION OF THE UNITED REVOLUTIONARY ORGANIZATION (CORU)",0
"T1046","CORSICAN REVOLUTIONARY BRIGADE",1
"T1047","COUNTERREVOLUTIONARY SOLIDARITY",1
"T1047","COUNTERREVOLUTIONARY SOLIDARITY (SC)",0
"T1047","SOLIDARIDAD CONTRAREVOLUCIONARIA",0
"T1048","CRESPA \"CEPA\" GALLENDE COMMANDO",1
"T1049","CROATIAN REVOLUTIONARY ARMY",1
"T1050","CROATIAN STATEHOOD MOVEMENT (HDP)",1
"T1051","ANTI-CASTRO CUBANS",1
"T1052","CUBAN NATIONAL ASSOCIATION",1
"T1053","BANI JABER TRIBE",1
"T1054","CULTIST FOLLOWERS OF SOBOMA GEORGE",1
"T1055","DAL KHALSA",1
"T1056","DASHMESH REGIMENT",1
"T1057","DEMOCRATIC IRAQI OPPOSITION OF GERMANY",1
"T1058","DEMOCRATIC PRO-GERMAN ACTION GROUP",1
"T1059","DIRECT ACTION (POLISH)",1
"T1060","AKHILESH SINGH GANG",1
"T1061","DOSTAM-KARMAL-GULBEDDIN MILITIA",1
"T1062","DOUKHOBOR SONS OF FREEDOM",1
"T1063","DOWN WITH LUBBERS COMMANDO",1
"T1063","DOWN WITH LUBBERS",0
"T1064","DAGESTANI SHARI'AH JAMAAT",1
"T1064","DAGESTANI SHARIAH JAMAAT",0
"T1064","DZHENNET (PARADISE)",0
"T1064","ISLAMIC JAMAAT OF DAGESTAN",0
"T1065","EAGLES FOR THE LIBERATION OF PALESTINE",1
"T1066","EAGLES OF NATIONAL UNITY",1
"T1067","EAGLES OF THE REVOLUTION",1
"T1068","ALLIED DEMOCRATIC FORCES OF GUINEA (RDFG)",1
"T1068","ALLIED DEMOCRATIC FORCES OF GUINEA",0
"T1068","RALLY OF DEMOCRATIC FORCES OF GUINEA",0
"T1068","RALLY OF DEMOCRATIC FORCES OF GUINEA (RDFG)",0
"T1068","RASSEMBLEMENT DES FORCES DƒMOCRATIQUES DE GUINƒE",0
"T1068","RASSEMBLEMENT DES FORCES DƒMOCRATIQUES DE GUINƒE (RDFG)",0
"T1069","EGYPTIAN LIBERATION ORGANIZATION",1
"T1070","EJERCITO POPULAR DE LIBERACION TORRIJISTA (EPLT)",1
"T1071","ENOSIS MOVEMENT (EOKA-B)",1
"T1072","EUROPEAN ANTI-GLOBALIZATION LIBERATION FRONT",1
"T1073","FARIGHAN",1
"T1073","FAFIGHAN",0
"T1074","FAL",1
"T1074","ARGENTINE LIBERATION FRONT (FAL)",0
"T1074","EL FRENTE ARGENTINO DE LIBERACION",0
"T1074","EL FRENTE ARGENTINO DE LIBERACIîN",0
"T1074","EL FRENTE ARGENTINO DE LIBERACION (FAL)",0
"T1074","EL FRENTE ARGENTINO DE LIBERACIîN (FAL)",0
"T1075","FALANGE SOCIALISTA BOLIVIANA (FSB)",1
"T1075","BOLIVIAN SOCIALIST FALANGE",0
"T1075","BOLIVIAN SOCIALIST FALANGE (FSB)",0
"T1075","FALANGE SOCIALISTA BOLIVIANA",0
"T1076","FEDAYIN OF THE IMPERIAL IRANIAN MONARCHY",1
"T1076","FEDAYEEN OF THE IMPERIAL IRANIAN MONARCHY",0
"T1077","FIGHTER'S DAY",1
"T1078","CIVIL DEFENSE FORCE (CDF)",1
"T1078","CDF - SIERRA LEONE",0
"T1078","CIVIL DEFENSE FORCE - SIERRA LEONE",0
"T1079","FORCES OF THE ISLAMIC DAWN",1
"T1080","FREE COSTA RICA MOVEMENT (MCRL)",1
"T1081","FREE GALICIAN PEOPLE'S GUERRILLA ARMY",1
"T1081","FREE GALICIAN PEOPLES GUERRILLA ARMY",0
"T1082","FREE INDIA ARMY",1
"T1083","FREE IRAQ",1
"T1084","FIGHTERS OF DEMOCRATIC LATVIA",1
"T1085","FRONT FOR THE LIBERATION OF ARMENIA",1
"T1086","FRONT FOR THE LIBERATION OF NORTHERN IPIROS (MAVI)",1
"T1086","NORTHERN EPIRUS LIBERATION FRONT (MAVI)",0
"T1087","FRONT FOR THE LIBERATION OF THE FRENCH SOMALI COAST",1
"T1087","FRONT DE LIBERATION DE LA COTE DES SOMALIS",0
"T1087","FRONT FOR THE LIBERATION OF THE COAST OF SOMALIA",0
"T1087","FRONT FOR THE LIBERATION OF THE SOMALI COAST",0
"T1087","SOMALI COAST LIBERATION FRONT",0
"T1088","FRONT INTERNATIONAL REVOLUTIONNAIRE",1
"T1089","GN 5",1
"T1090","GOLFECH ANTINUCLEAR ARMY",1
"T1091","GREEK ARMED GROUP FOR THE SUPPORT OF NORTHERN IRELAND",1
"T1092","GREEK PEOPLE",1
"T1093","GREENPEACE",1
"T1094","GROUP 219FA",1
"T1095","GROUP FOR MARTYRED ISAM AS-SARTAWI",1
"T1095","GROUP OF MARTYRED ISAM AL-SARTAWI",0
"T1096","GROUPS OF INTERNATIONALIST COMMUNIST",1
"T1097","GRUPPE HAU WEG DEN SCHEISS (GHWDS)",1
"T1097","GRUPPE HAW WEG DEN SCHEISS",0
"T1098","GUERRILLA ARMY OF GALICIAN PEOPLE",1
"T1099","GUNTER SONNENBERG GROUP",1
"T1100","HINDUS OF THE BABRI MOSQUE",1
"T1101","HOFSTAD NETWORK",1
"T1101","HOFSTADGROEP",0
"T1102","HOLGER MEINS KOMMANDO",1
"T1103","HOMELAND AND FREEDOM GROUP",1
"T1104","IDRISS MISKINE",1
"T1104","IDRISS MISKINE GROUP",0
"T1105","IJAW MILITANTS",1
"T1106","HUTU REBELS",1
"T1107","IMAMIA STUDENTS ORGANISATION",1
"T1108","IMAM'S SOLDIERS",1
"T1109","IN THE HEART OF THE BEAST",1
"T1110","INDEPENDENCE COMMANDO",1
"T1111","INDEPENDENT NASIRITE MOVEMENT",1
"T1111","INDEPENDENT NASSERITE MOVEMENT",0
"T1112","INDONESIAN TERRORIST NETWORKS",1
"T1113","INTERNAL FRONT",1
"T1114","INTERNATIONALIST CELLS",1
"T1115","IRANIAN ISLAMIC JIHAD",1
"T1116","IRANIAN PEOPLE'S FEDAYIN GUERRILLA ORGANIZATION",1
"T1117","IRAQI MUJAHEDIN MOVEMENT",1
"T1118","IRAULTZA",1
"T1119","IRGUN ZVAI LEUMI",1
"T1120","ISLAMIC ACTION GROUP",1
"T1121","ISLAMIC AMAL ORGANIZATION: MARTYR FALLAHI GROUP",1
"T1122","ISLAMIC ASSOCIATION OF STUDENTS OF THE WORLD",1
"T1123","ISLAMIC DA'WA",1
"T1124","GOVERNMENT SUPPORTERS",1
"T1124","GOVERNMENT SUPPORTERS - SRI LANKA",0
"T1125","ISLAMIC JIHAD ORGANIZATION (IJO)",1
"T1126","ISLAMIC JIHAD, REVOLUTIONARY WORD ORGANIZATION",1
"T1127","ISLAMIC LIBERATION FRONT",1
"T1128","ISLAMIC RESISTANCE FRONT",1
"T1129","ISLAMIC REVOLUTIONARY GUARD",1
"T1130","ISLAMIC TENDENCY",1
"T1131","ISLAMIST KASHMIRI SEPARATISTS",1
"T1132","ITALIAN ARMED FALANGE",1
"T1133","JACQUES MESRINE ORGANIZATION",1
"T1134","SINHALESE JANATHA VIMUKTHI PERAMUNA (JVP)",1
"T1134","PEOPLES LIBERATION FRONT (JVP)",0
"T1134","PEOPLE'S LIBERATION FRONT (JVP)",0
"T1135","JAVIER HERAUD REVOLUTIONARY COMMANDO",1
"T1135","JAVIER HERAUD REVOLUTIONARY COMMAND",0
"T1136","JEWISH ARMED RESISTANCE",1
"T1137","JEWISH SELF-DEFENSE FRONT",1
"T1138","JIHAD BRIGADES",1
"T1139","JORDANIAN FREE OFFICERS MOVEMENT",1
"T1140","JORDANIAN ISLAMIC RESISTANCE",1
"T1140","MOVEMENT FOR THE STRUGGLE OF THE JORDANIAN ISLAMIC RESISTANCE",0
"T1141","JORDANIAN NATIONAL LIBERATION MOVEMENT",1
"T1142","JUAN SANTAMARIA COMMAND",1
"T1143","JULIO GUERRA SOUTHERN OPERATION",1
"T1144","JULY 8 AUTONOMOUS GROUP",1
"T1145","PALESTINIAN HEZBOLLAH",1
"T1145","HEZBELLAH - PALESTINIAN TERRITORIES",0
"T1145","HEZBOLLAH - PALESTINIAN TERRITORIES",0
"T1145","HIZBALLAH - PALESTINIAN TERRITORIES",0
"T1145","HIZBOLLAH - PALESTINIAN TERRITORIES",0
"T1145","PALESTINIAN HEZBALLAH",0
"T1145","PALESTINIAN HIZBALLAH",0
"T1145","PALESTINIAN HIZBOLLAH",0
"T1146","KAABA LIBERATION ORGANIZATION - MUHAMMAD AL SADR ",1
"T1147","KANAKA LIBERATION FRONT",1
"T1148","KARBALA MARTYR'S FORCES",1
"T1149","KASHMIR FREEDOM FORCE",1
"T1150","KASHMIR NATIONAL LIBERATION FRONT",1
"T1151","KATA'IB AL-TAWHID",1
"T1151","BATTALIONS OF MONOTHEISM",0
"T1151","KATAEB AL TAWHID",0
"T1151","KATAEB AL TAWHID (BATTALIONS OF MONOTHEISM)",0
"T1152","KHALID IBN WALID",1
"T1153","KHAWLAN TRIBE",1
"T1154","KOETOH REH",1
"T1155","NATIONAL FRONT FOR THE LIBERATION OF KURDISTAN (ERNK)",1
"T1155","DEMOCRATIC PEOPLES UNIONS",0
"T1156","TERENA INDIANS",1
"T1157","LEBANESE FRONT",1
"T1158","UNITED BENGALI LIBERATION FRONT (UBLF)",1
"T1158","UNITED BENGALI LIBERATION FRONT",0
"T1159","LEBANESE REVOLUTIONARY GUARD",1
"T1160","LEFTIST LEAGUE OF FILIPINO STUDENTS",1
"T1161","LIBYAN ORGANIZATION OF 7 APRIL",1
"T1161","7 APRIL LIBYAN ORGANIZATION",0
"T1162","LIVERPOOL GANGSTERS",1
"T1163","LORENZO ZELAYA GUERRILLA COMMANDO",1
"T1164","LORENZO ZELAYA POPULAR REVOLUTIONARY FORCES",1
"T1165","M-5",1
"T1166","M-7 ORGANIZATION",1
"T1166","M-7",0
"T1167","MACEDONIA DAWN",1
"T1167","MAKEDONSKA ZORA",0
"T1168","MAHIR CAYAN SUICIDE GROUP",1
"T1169","MARTYR ABU JA'FAR GROUP",1
"T1169","MARTYR ABU JA`FAR GROUP",0
"T1169","MARTYR ABU JAFAR GROUP",0
"T1170","MARTYR HALIM",1
"T1170","MARTYRS HALIM",0
"T1170","MARTYRS HALIM GROUP",0
"T1171","MARTYR MOZAFFAR BAKR GROUP",1
"T1172","MARTYR SADR BRIGADE",1
"T1173","MARTYRS OF PALESTINE",1
"T1174","MARTYRS OF THE ISLAMIC REVOLUTION",1
"T1175","MEDELLIN BOLIVARIAN MILITIA",1
"T1176","MEDELLIN CARTEL",1
"T1176","MEDELLIN DRUG CARTEL",0
"T1177","MERCURY",1
"T1178","MILITARY LIBERATION FRONT OF COLOMBIA",1
"T1179","MLKP-FESK",1
"T1180","MOENCHBURCH LIBERATION ARMY",1
"T1181","MOHAMMED BOUDIA GROUP",1
"T1182","MORAZANIST FRONT FOR THE LIBERATION OF HONDURAS (FMLH)",1
"T1182","FRENTE MORAZANISTA PARA LA LIBERACION DE HONDURAS",0
"T1183","MOSLEM INTERNATIONAL GUERRILLAS",1
"T1184","MOVEMENT FOR THE EMANCIPATION OF THE NIGER DELTA (MEND)",1
"T1184","MOVEMENT FOR EMANCIPATION OF NIGER DELTA (MEND)",0
"T1185","MOVIMIENTO PERONISTA",1
"T1186","MSGR. OSCAR ARNULFO ROMERO FEDERATION OF COMMITTEES OF MOTHERS AND RELATIVES OF POLITICAL PRISONERS, DISAPPEARED AND ASSASSINATED PEOPLE OF EL SALVADOR (FECMAFAN)",1
"T1187","MUJAHIDEEN DIVISION KHANDAQ",1
"T1188","MUJAHIDEEN SAAF",1
"T1189","MUSTAFA AKTAS FIGHTING UNIT",1
"T1190","NATIONAL COUNCIL FOR DEFENSE OF DEMOCRACY (NCDD)",1
"T1190","NATIONAL COUNCIL FOR THE DEFENSE OF DEMOCRACY",0
"T1190","NATIONAL COUNCIL FOR THE DEFENSE OF DEMOCRACY (CNDD)",0
"T1191","NATIONAL DEMOCRATIC POPULAR FRONT (FPDN)",1
"T1192","NATIONAL FRONT OF SLOVAKIA",1
"T1193","NATIONAL INDEPENDENT COMMITTEE FOR POLITICAL PRISONERS AND PRESECUTED AND MISSING PERSONS",1
"T1193","NATIONAL INDEPENDENT COMMITTEE FOR POLITICAL PRISONERS AND PERSECUTED AND MISSING PERSONS",0
"T1194","NATIONAL LIBERATION FORCES (FLN)",1
"T1195","NATIONAL LIBERATION FRONT OF SOMALI (NLFS)",1
"T1196","NATIONAL RESISTANCE FRONT (CHILE)",1
"T1197","NATIONAL RESISTANCE FRONT (CHAD)",1
"T1198","NATIONAL SALVATION DEATH BAND OF STUDENTS & YOUTHS",1
"T1199","RIGHT WING NATIONAL YOUTH FRONT",1
"T1199","NATIONAL YOUTH FRONT",0
"T1200","NATIONALIST GROUP FOR THE LIBERATION OF PALESTINE",1
"T1201","NATIONALIST INTERVENTION GROUP",1
"T1202","NAWAB KHAIR BUX MARRI",1
"T1203","ANARCHIST SQUAD",1
"T1204","NEOFASCIST ARMED REVOLUTIONARY NUCLEI",1
"T1205","NEW BIPLOBI COMMUNIST PARTY",1
"T1206","NEW PATTANI UNITED LIBERATION ORGANIZATION (NEW PULO)",1
"T1206","NEW PATANI UNITED LIBERATION ORGANIZATION (NEW PULO)",0
"T1207","NIGER DELTA PEOPLE'S VOLUNTEER FORCE (NDPVF)",1
"T1207","NDPVF",0
"T1207","NIGER DELTA PEOPLEÕS VOLUNTEER FORCE",0
"T1207","NIGER DELTA PEOPLES VOLUNTEER FORCE (NDPVF)",0
"T1207","NIGER DELTA PEOPLES VOLUNTEER GROUP",0
"T1207","NIGER DELTA PEOPLE'S VOLUNTEER GROUP",0
"T1208","NINJAS",1
"T1209","OCTOBER 17 MOVEMENT FOR THE LIBERATION OF THE SYRIAN PEOPLE",1
"T1210","OCTOBER 22 FLNC",1
"T1211","OMAR TORRIJOS GUERRILLA COMMANDO- AMERICA BATTALION",1
"T1212","ORDINE NERO (BLACK ORDER)",1
"T1212","BLACK ORDER",0
"T1212","ORDINE NERO",0
"T1213","ORGANIZATION FOR STRUGGLE AGAINST ZIONIST INFILTRATION INTO EGYPT",1
"T1214","ORGANIZATION FOR THE DEFENSE OF DETAINEES RIGHTS",1
"T1215","ORGANIZATION FOR THE LIBERATION OF CHAD FROM IMPERIALISM AND FASCISM",1
"T1216","ORGANIZATION FOR THE LIBERATION OF LEBANON FROM FOREIGNERS",1
"T1217","ORGANIZATION FOR THE LIBERATION OF MUSLIMS IN KUWAIT",1
"T1218","ORGANIZATION FOR VICTIMS OF ZIONIST OCCUPATION",1
"T1219","ORGANIZATION OF AL-JIHAD BRIGADES",1
"T1220","ORGANIZATION OF GUERRERO STATES SOUTHERN MOUNTAIN RANGE",1
"T1221","ORGANIZATION OF METROPOLITAN PROLETARIAT AND OPPRESSED PEOPLES",1
"T1222","ORGANIZATION OF STARING PEOPLE",1
"T1223","ORGANIZATION OF THE AVENGING PALESTINIAN YOUTH",1
"T1223","ORGANIZATION OF AVENGING PALESTINIAN YOUTH",0
"T1224","PACIFIST AND ECOLOGIST COMMITTEE",1
"T1225","PALESTINE LIBERATION COMMANDOS",1
"T1225","PALESTINIAN LIBERATION COMMAND",0
"T1226","PAN-EPIROTIC FEDERATION OF AMERICA AND CANADA",1
"T1227","PARTISANS OF SADDAM",1
"T1228","PATRIOTIC ANTI-COMMUNIST FRONT",1
"T1228","ANTI COMMUNIST PATRIOTIC FRONT",0
"T1229","FRONT FOR LIBERATION (FPL)",1
"T1230","PATRIOTIC LIBERATION FRONT",1
"T1231","PATRIOTIC YOUTH COMMANDO",1
"T1232","PEACE AND FREEDOM FIGHTERS",1
"T1233","PEACE CONQUERORS",1
"T1234","PEASANT UNITY COMMITTEE",1
"T1235","PEDRO LUIS BOITEL COMMANDOS",1
"T1235","LUIS BOITEL COMMANDOS",0
"T1236","PEOPLE'S ARMY OF THE OPPRESSED IN ZAIRE",1
"T1237","PEOPLE'S COMMAND",1
"T1238","PEOPLE'S FRONT INITIATIVE",1
"T1239","PEOPLE'S LIBERATION FRONT",1
"T1240","PEOPLE'S MUJAHIDEEN OF AFGHANISTAN",1
"T1241","PEOPLE'S PATH",1
"T1242","PEOPLE'S RESISTANCE ORGANIZED ARMY",1
"T1243","CHUKAKUHA REVOLUTIONARY ARMY",1
"T1244","PEOPLE'S REVOLUTIONARY COMMAND (CRP)",1
"T1245","PEOPLE'S REVOLUTIONARY SOLIDARITY",1
"T1246","PEYKAR",1
"T1246","ORGANIZATION FOR FIGHT FOR THE FREEDOM OF THE WORKING CLASSES",0
"T1246","PEYKAR-E TABAQEH-E KARGAR",0
"T1247","PODER CUBANO",1
"T1248","POPULAR ARMY OF NATIONAL LIBERATION",1
"T1249","PORTUGUESE ANTI-COMMUNIST MOVEMENT",1
"T1250","PORTUGUESE LIBERATION ARMY",1
"T1251","FIRST CAPITAL COMMAND (PCC)",1
"T1251","PRIMEIRO COMMANDO DA CAPITAL MOVEMENT (PCC)",0
"T1252","PROLETARIAN INITIATIVE AND OFFENSIVE FOR WESTERN EUROPE AS WAR ZONE",1
"T1252","PROLETARIAN INITIATIVE AND OFFENSIVE FOR W EUROPE",0
"T1252","PROLETARIAN INITIATIVE AND OFFENSIVE FOR W. EUROPE",0
"T1252","PROLETARIAN INITIATIVE AND OFFENSIVE FOR WESTERN EUROPE",0
"T1253","PROLETARIAN INTERNATIONALISM",1
"T1253","PROLITARIAN INTERNATIONALISM",0
"T1254","PROPHET MUHAMMAD'S FORCES IN KUWAIT-REVOLUTIONARY ORGANIZATION",1
"T1255","PROUD EAGLE TRIBE",1
"T1256","QUWWAT AL-SAFF AL-MUJAHID",1
"T1257","RAJAH SOLAIMAN REVOLUTIONARY MOVEMENT",1
"T1258","RECONTRAS",1
"T1258","380 NORTHERN FRONT",0
"T1258","3-80 NORTHERN FRONT",0
"T1258","EX-CONTRAS",0
"T1258","FN 3-80",0
"T1258","RECONTRA 380",0
"T1258","RECONTRA 3-80",0
"T1258","RECONTRA 3-80 NORTHERN FRONT",0
"T1259","RED GUERRILLA FAMILY",1
"T1259","RED GUERILLA FAMILY",0
"T1260","RED REVOLUTIONARY FRONT",1
"T1261","RESISTANCE CELL",1
"T1262","REVENGE OF THE OPPRESSED",1
"T1263","REVOLUTIONARY AFFINITY GROUP SIX",1
"T1264","REVOLUTIONARY ANTI-RACIST ACTION (RARA)",1
"T1264","REVOLUTIONAIRE ANTI-RACISTISCHE ACTIE",0
"T1264","REVOLUTIONARY ANTI-RACIST ACTION",0
"T1265","REVOLUTIONARY ARAB YOUTH ORGANIZATION",1
"T1266","REVOLUTIONARY AUTONOMOUS GROUP",1
"T1267","REVOLUTIONARY BOLIVARIANO MOVEMENT 200 (MBR-200)",1
"T1267","MBR-200",0
"T1267","REVOLUTIONARY BOLIVARIANO MOVEMENT 200",0
"T1268","RAHANWEIN RESISTANCE ARMY (RRA)",1
"T1268","RAHANWEIN RESISTANCE ARMY",0
"T1268","RAHANWEYN RESISTANCE ARMY",0
"T1268","RAHANWEYN RESISTANCE ARMY (RRA)",0
"T1268","REEWIN RESISTANCE ARMY",0
"T1268","REEWIN RESISTANCE ARMY (RRA)",0
"T1269","CIVIC UNITED FRONT (CUF)",1
"T1269","CIVIC UNITED FRONT",0
"T1270","REVOLUTIONARY FLAMES",1
"T1271","REVOLUTIONARY INTERNATIONALIST SOLIDARITY GROUP",1
"T1271","REVOLUTIONARY INTERNATIONALIST SOLIDARITY",0
"T1272","REVOLUTIONARY LIBERATION CELLS ORGANIZATION",1
"T1272","REVOLUTIONARY LIBERATION CELLS",0
"T1273","REVOLUTIONARY MARTYR GUARDS OF AL-AHVAZ",1
"T1274","REVOLUTIONARY MILITANT WING",1
"T1275","REVOLUTIONARY ORGANIZATION - FORCES OF PROPHET MOHAMMED",1
"T1276","REVOLUTIONARY ORGANIZATION COMMANDO OF DEATH",1
"T1277","REVOLUTIONARY STUDENT FRONT (FER)",1
"T1277","STUDENT REVOLUTIONARY FRONT (FER)",0
"T1278","ROBERT E. D. STRAKER COMMANDO OF THE TERRITORIAL RESISTANCE ARMY",1
"T1278","TERRITORIAL RESISTANCE ARMY",0
"T1279","ROBERTO SANTUCHO REVOLUTIONARY GROUP",1
"T1280","RUDOLF HESS LIBERATION COMMAND",1
"T1280","LIBERATION COMMANDO RUDOLF HESS",0
"T1281","RUMINAHUI FRONT",1
"T1282","RWANDAN PATRIOTIC FRONT",1
"T1282","RWANDA PATRIOTIC FRONT (RPF)",0
"T1283","SADVAL",1
"T1284","SAFFRON TIGERS",1
"T1285","SA'ID HAMAMI",1
"T1286","SAMYUKTA MUKTI BAHINI (UNITED LIBERATION FRONT)",1
"T1287","SARGENTO CISNEROS COMMANDO",1
"T1288","SAVE OUR ISRAEL LAND",1
"T1289","SCOTTISH NATIONAL LIBERATION ARMY",1
"T1289","SCOTTISH NATIONAL LIBERATION ARMY (SNLA)",0
"T1290","SECONDARY STUDENTS FOR NUCLEAR DISARMAMENT",1
"T1291","SECRET EAGLES FRONT ORGANIZATION",1
"T1292","SECRET HAND ORGANIZATION",1
"T1293","SEPTEMBER 17 ORGANIZATION",1
"T1294","SHOCK BRIGADE OF STUDENTS",1
"T1295","SKIF DETACHMENT",1
"T1295","SKIF",0
"T1296","SOCHONGNYON",1
"T1297","SOLDIERS OF THE ALGERIAN OPPOSITION (SOA)",1
"T1297","SOLDIERS OF THE ALGERIAN OPPOSITION",0
"T1298","SOLIDARIST RESISTANCE MOVEMENT",1
"T1299","SOMALI SALVATION DEMOCRATIC FRONT (SSDF)",1
"T1300","SONS OF THE OCCUPIED LAND ORGANIZATION (SOLO)",1
"T1301","SOUTH-SOUTH LIBERATION MOVEMENT (SSLM)",1
"T1302","SOVEREIGN PANAMA FRONT (FPS)",1
"T1302","FRENTE PANAMA SOBERANO (FREPASO)",0
"T1302","PANAMA SOVEREIGNTY FRONT",0
"T1303","SPIROS MILIOS OF KHIMARA",1
"T1304","SUDANESE LIBERATION ARMY",1
"T1305","SUPPORTERS OF LAW AND FREEDOM",1
"T1305","SUPPORTERS OF RIGHT AND FREEDOM",0
"T1306","MOVEMENT FOR THE SUPREMACY OF REASON",1
"T1306","SUPREMACY OF REASON",0
"T1307","SUPREME HEADQUARTERS OF ARMED ISLAMIC WARRIORS IN IRAQ",1
"T1308","TAIKOSHA",1
"T1308","TAIKOSHA, RIGHT WING GROUP",0
"T1309","TAMIL NADU LIBERATION ARMY",1
"T1309","TAMIL NADU LIBERATION ARMY (TNLA)",0
"T1310","TERROR AGAINST TERROR",1
"T1310","TERROR FOR TERROR, AN EYE FOR AN EYE",0
"T1311","CROAT DEMOCRATIC UNION",1
"T1312","THE ALACRAN",1
"T1312","THE SCORPION",0
"T1313","THE CUBAN SCORPION",1
"T1314","THE NEWTS",1
"T1315","THE PEOPLE'S NATIONAL CONGRESS (PNC)",1
"T1316","THE PROGRESSIVE SOCIALISTS",1
"T1317","THE RED ARMY FOR THE LIBERATION OF CATALONIA (ERCA)",1
"T1317","RED ARMY FOR THE LIBERATION OF CATALONIA",0
"T1317","RED ARMY FOR THE LIBERATION OF CATALONIA (ERCA)",0
"T1318","DAYAK GANG",1
"T1318","DAYAKS",0
"T1319","TUNISIAN REVOLUTIONARY NATIONAL ORGANIZATION",1
"T1320","TURKISH ISLAMIC REVOLUTIONARY ARMY",1
"T1321","TURKISH MARXIST WORKERS PARTY",1
"T1322","TURKISH PEOPLE'S SALVATION PARTY FRONT",1
"T1323","TURKISH REVOLUTIONARIES",1
"T1324","UGANDA FEDERAL DEMOCRATIC ALLIANCE",1
"T1324","UFEDA",0
"T1324","UGANDA FEDERAL DEMOCRATIC ALLIANCE (UFEDA)",0
"T1325","UGANDA FREEDOM MOVEMENT",1
"T1325","UGANDA FREEDOM MOVEMENT (UFM)",0
"T1326","UIGHUR REBELS",1
"T1327","ULRIKE MEINHOF FIGHTING UNIT",1
"T1328","UNIFIED LIBERATION FRONT OF NEW ALGERIA",1
"T1328","UNITED LIBERATION FRONT FOR THE NEW ALGERIA",0
"T1329","UNITED NASIRITE ORGANIZAITON",1
"T1329","UNIFIED NASIRITE ORGANIZATION",0
"T1329","UNIFIED NASSERITE ORGANIZATION",0
"T1329","UNITED NASSERITE ORGANIZATION",0
"T1330","UNION OF COMMUNIST FIGHTERS",1
"T1331","UNION OF GALILEE CHRISTIANS",1
"T1332","UNION OF PEACEFUL CITIZENS OF ALGERIA",1
"T1332","COMMITTEE OF PEACE-LOVING ALGERIANS",0
"T1332","LAJNAT AL-MUSALIMIN AL-JAZA'IRIYIN",0
"T1333","UNION OF YOUNG KURDISH REVOLUTIONARIES",1
"T1334","UNITED FREEDOM FIGHTERS",1
"T1335","UNITED FRONT FOR GUERRILLA ACTION",1
"T1336","UNITED LAO LIBERATION FRONT (ULLF)",1
"T1337","UNITED POPULAR ACTION FRONT",1
